;Longitude;Latitude;Magnitude;Direção;Data;Valor_Pressao;Valor_Temp;Valor_Chuva;Magnitude_Verif
0;-42.75;-14.25;6.82;97.36;2017-01-01 00:00:00;1013.14;25.93;0.0;9.815
1;-42.75;-14.25;6.91;94.65;2017-01-01 01:00:00;1013.34;25.73;0.0;8.735
2;-42.75;-14.25;7.27;92.98;2017-01-01 02:00:00;1013.04;25.5;0.0;8.4545
3;-42.75;-14.25;7.83;93.62;2017-01-01 03:00:00;1012.92;23.67;0.0;9.1775
4;-42.75;-14.25;7.81;96.33;2017-01-01 04:00:00;1013.07;22.97;0.0;9.1855
5;-42.75;-14.25;7.63;98.83;2017-01-01 05:00:00;1013.34;21.54;0.0;9.361
6;-42.75;-14.25;7.51;99.54;2017-01-01 06:00:00;1013.39;20.98;0.0;8.403
7;-42.75;-14.25;7.3;98.6;2017-01-01 07:00:00;1013.67;20.49;0.0;7.396000000000001
8;-42.75;-14.25;7.03;97.6;2017-01-01 08:00:00;1014.05;20.21;0.0;7.83
9;-42.75;-14.25;6.9;98.42;2017-01-01 09:00:00;1014.79;20.17;0.0;7.383
10;-42.75;-14.25;6.4;97.18;2017-01-01 10:00:00;1015.33;25.67;0.0;7.1005
11;-42.75;-14.25;6.77;95.62;2017-01-01 11:00:00;1015.49;25.87;0.0;6.602
12;-42.75;-14.25;6.35;92.58;2017-01-01 12:00:00;1015.38;26.52;0.0;6.435499999999999
13;-42.75;-14.25;5.51;90.71;2017-01-01 13:00:00;1015.28;26.69;0.0;5.5555
14;-42.75;-14.25;4.26;88.45;2017-01-01 14:00:00;1014.47;26.94;0.0;5.4485
15;-42.75;-14.25;3.05;86.46;2017-01-01 15:00:00;1013.7;32.58;0.0;4.098
16;-42.75;-14.25;2.61;88.98;2017-01-01 16:00:00;1013.12;33.06;0.0;3.7395
17;-42.75;-14.25;2.41;83.32;2017-01-01 17:00:00;1012.13;33.22;0.0;3.5985
18;-42.75;-14.25;2.42;83.82;2017-01-01 18:00:00;1011.34;33.1;0.0;5.537
19;-42.75;-14.25;2.27;84.95;2017-01-01 19:00:00;1011.18;33.3;0.0;6.0725
20;-42.75;-14.25;2.29;89.31;2017-01-01 20:00:00;1011.27;33.15;0.0;5.702999999999999
21;-42.75;-14.25;2.73;89.18;2017-01-01 21:00:00;1011.54;30.16;0.0;6.7905
22;-42.75;-14.25;3.3;82.28;2017-01-01 22:00:00;1011.89;26.81;0.0;7.781
23;-42.75;-14.25;3.53;81.54;2017-01-01 23:00:00;1012.1;25.89;0.0;8.665
24;-42.75;-14.25;3.33;82.48;2017-01-02 00:00:00;1012.57;24.93;0.0;7.8435
25;-42.75;-14.25;3.42;87.59;2017-01-02 01:00:00;1012.61;24.96;0.0;7.728
26;-42.75;-14.25;3.78;88.62;2017-01-02 02:00:00;1012.31;24.66;0.0;7.4135
27;-42.75;-14.25;5.24;85.86;2017-01-02 03:00:00;1012.14;23.64;0.0;6.9715
28;-42.75;-14.25;6.9;88.73;2017-01-02 04:00:00;1012.11;23.71;0.0;7.182
29;-42.75;-14.25;6.2;91.22;2017-01-02 05:00:00;1011.81;22.33;0.0;6.7765
30;-42.75;-14.25;5.38;95.71;2017-01-02 06:00:00;1011.84;21.63;0.0;5.8885000000000005
31;-42.75;-14.25;5.12;99.52;2017-01-02 07:00:00;1012.48;21.19;0.0;5.663
32;-42.75;-14.25;5.06;102.48;2017-01-02 08:00:00;1012.63;21.17;0.0;4.963
33;-42.75;-14.25;5.05;103.69;2017-01-02 09:00:00;1013.38;20.86;0.0;5.1585
34;-42.75;-14.25;4.57;105.04;2017-01-02 10:00:00;1013.83;26.98;0.0;4.9465
35;-42.75;-14.25;4.3;99.64;2017-01-02 11:00:00;1013.54;27.31;0.0;4.93
36;-42.75;-14.25;3.91;94.97;2017-01-02 12:00:00;1013.22;27.91;0.0;4.73
37;-42.75;-14.25;3.3;92.19;2017-01-02 13:00:00;1013.05;28.45;0.0;4.465
38;-42.75;-14.25;2.22;106.89;2017-01-02 14:00:00;1012.38;28.89;0.0;4.453
39;-42.75;-14.25;2.11;117.78;2017-01-02 15:00:00;1011.49;35.02;0.0;3.8915
40;-42.75;-14.25;1.88;120.54;2017-01-02 16:00:00;1010.61;35.25;0.0;2.92
41;-42.75;-14.25;1.84;124.83;2017-01-02 17:00:00;1009.5;35.79;0.0;2.7735000000000003
42;-42.75;-14.25;1.91;130.08;2017-01-02 18:00:00;1008.97;35.24;0.0;2.0435
43;-42.75;-14.25;2.0;131.42;2017-01-02 19:00:00;1008.62;34.88;0.0;2.1435
44;-42.75;-14.25;2.1;131.55;2017-01-02 20:00:00;1008.73;34.77;0.0;4.0765
45;-42.75;-14.25;2.5;131.78;2017-01-02 21:00:00;1008.39;32.44;0.0;4.45
46;-42.75;-14.25;3.29;138.59;2017-01-02 22:00:00;1008.39;27.51;0.0;4.8135
47;-42.75;-14.25;3.32;130.1;2017-01-02 23:00:00;1008.81;27.21;0.0;6.785
48;-42.75;-14.25;3.06;111.88;2017-01-03 00:00:00;1009.15;26.29;0.0;6.087999999999999
49;-42.75;-14.25;3.22;81.61;2017-01-03 01:00:00;1009.55;26.07;0.0;6.3615
50;-42.75;-14.25;4.05;67.2;2017-01-03 02:00:00;1009.91;26.42;0.0;5.503
51;-42.75;-14.25;5.06;78.16;2017-01-03 03:00:00;1010.31;25.29;0.0;5.85
52;-42.75;-14.25;6.23;90.75;2017-01-03 04:00:00;1010.09;25.31;0.0;5.7035
53;-42.75;-14.25;6.16;93.67;2017-01-03 05:00:00;1010.13;24.06;0.0;4.654999999999999
54;-42.75;-14.25;5.31;96.13;2017-01-03 06:00:00;1010.11;23.09;0.0;4.778499999999999
55;-42.75;-14.25;4.9;101.13;2017-01-03 07:00:00;1010.58;22.32;0.0;4.1735
56;-42.75;-14.25;4.8;101.65;2017-01-03 08:00:00;1011.18;22.18;0.0;3.8635
57;-42.75;-14.25;4.6;96.6;2017-01-03 09:00:00;1011.71;21.66;0.0;4.3935
58;-42.75;-14.25;3.24;95.24;2017-01-03 10:00:00;1012.61;28.44;0.0;4.122
59;-42.75;-14.25;3.11;91.37;2017-01-03 11:00:00;1012.71;28.74;0.0;4.615
60;-42.75;-14.25;2.84;86.34;2017-01-03 12:00:00;1012.78;28.82;0.0;4.3985
61;-42.75;-14.25;2.36;80.3;2017-01-03 13:00:00;1012.36;29.65;0.0;4.5015
62;-42.75;-14.25;1.99;89.74;2017-01-03 14:00:00;1011.8;29.92;0.0;4.095
63;-42.75;-14.25;2.09;106.54;2017-01-03 15:00:00;1011.04;35.36;0.0;4.427
64;-42.75;-14.25;2.39;118.55;2017-01-03 16:00:00;1010.02;35.28;0.0;5.945
65;-42.75;-14.25;2.85;120.46;2017-01-03 17:00:00;1009.35;35.39;0.0;6.265
66;-42.75;-14.25;3.37;119.61;2017-01-03 18:00:00;1008.5;35.62;0.0;9.343
67;-42.75;-14.25;3.67;116.64;2017-01-03 19:00:00;1007.8;35.51;0.0;9.2285
68;-42.75;-14.25;4.19;112.14;2017-01-03 20:00:00;1007.76;35.37;0.0;8.1265
69;-42.75;-14.25;4.32;101.94;2017-01-03 21:00:00;1007.97;33.89;0.0;10.2685
70;-42.75;-14.25;4.64;95.73;2017-01-03 22:00:00;1008.79;28.85;0.0;12.435
71;-42.75;-14.25;5.05;82.57;2017-01-03 23:00:00;1008.91;27.58;0.0;11.331499999999998
72;-42.75;-14.25;5.99;72.9;2017-01-04 00:00:00;1009.65;28.25;0.0;11.4
73;-42.75;-14.25;6.5;70.29;2017-01-04 01:00:00;1009.97;28.45;0.0;8.247
74;-42.75;-14.25;6.57;77.81;2017-01-04 02:00:00;1010.75;28.2;0.0;6.0485
75;-42.75;-14.25;6.89;88.66;2017-01-04 03:00:00;1011.38;26.88;0.0;6.6985
76;-42.75;-14.25;7.32;94.72;2017-01-04 04:00:00;1011.42;25.65;0.0;7.9335
77;-42.75;-14.25;7.51;97.49;2017-01-04 05:00:00;1011.72;24.53;0.0;7.448
78;-42.75;-14.25;7.75;97.43;2017-01-04 06:00:00;1011.56;23.76;0.0;7.265000000000001
79;-42.75;-14.25;7.74;96.86;2017-01-04 07:00:00;1012.15;22.94;0.0;5.625
80;-42.75;-14.25;7.64;96.88;2017-01-04 08:00:00;1012.17;22.38;0.0;6.0965
81;-42.75;-14.25;7.27;96.61;2017-01-04 09:00:00;1013.39;22.05;0.0;5.4435
82;-42.75;-14.25;6.96;95.04;2017-01-04 10:00:00;1014.64;25.88;0.0;5.955
83;-42.75;-14.25;6.37;88.29;2017-01-04 11:00:00;1014.7;26.19;0.0;6.162
84;-42.75;-14.25;5.41;81.73;2017-01-04 12:00:00;1014.86;26.5;0.0;5.445
85;-42.75;-14.25;4.24;77.94;2017-01-04 13:00:00;1014.85;27.11;0.02;5.455
86;-42.75;-14.25;3.13;77.82;2017-01-04 14:00:00;1014.25;27.59;0.05;6.2385
